"Edit fragment","Edit fragment"
"Chosen fragments:","Chosen fragments:"
"Net price: ","Net price: "
"Gross price: ","Gross price: "
"Available fragments: ","Available fragments: "
"Netto","Netto"
"Gross","Gross"
"Wartość  odcinków ciętych","Wartość  odcinków ciętych"
"Total","Total"
"Fragment not selected. Please enter some fragment.","Fragment not selected. Please enter some fragment."
"Ready","Ready"
"The maximum fragment length was exceeded, please enter a smaller value.","The maximum fragment length was exceeded, please enter a smaller value."
"The total fragments length was exceeded, please enter a smaller value.","The total fragments length was exceeded, please enter a smaller value."
